Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-73864,"RNA Polymerase I Transcription",3,87,0.005708661417322835,0.0694109375061639,0.5372169814016441,9,14,9.893293760158293E-4,9606,Homo sapiens,"POLR2E;POLR1G;H3C6","","R-HSA-74993;R-HSA-74992;R-HSA-74994;R-HSA-73718;R-HSA-73865;R-HSA-73769;R-HSA-74986;R-HSA-73757;R-HSA-73758"
R-HSA-5250941,"Negative epigenetic regulation of rRNA expression",3,89,0.0058398950131233595,0.07318741337989665,0.5372169814016441,7,12,8.479966080135679E-4,9606,Homo sapiens,"POLR2E;POLR1G;H3C6","","R-HSA-427366;R-HSA-427527;R-HSA-427514;R-HSA-5227490;R-HSA-433672;R-HSA-427528;R-HSA-427337"
R-HSA-6802953,"RAS signaling downstream of NF1 loss-of-function variants",1,9,5.905511811023622E-4,0.09287019835982047,0.5372169814016441,1,1,7.066638400113066E-5,9606,Homo sapiens,"VASP","","R-HSA-6802837"
R-HSA-114516,"Disinhibition of SNARE formation",1,10,6.561679790026247E-4,0.1026445705486041,0.5372169814016441,1,2,1.4133276800226132E-4,9606,Homo sapiens,"STX4","","R-HSA-114684"
R-HSA-73762,"RNA Polymerase I Transcription Initiation",2,50,0.0032808398950131233,0.10275103661883189,0.5372169814016441,3,6,4.2399830400678397E-4,9606,Homo sapiens,"POLR2E;POLR1G","","R-HSA-73865;R-HSA-73757;R-HSA-73758"
R-HSA-8854214,"TBC/RABGAPs",2,51,0.0033464566929133858,0.10617619726190419,0.5372169814016441,2,14,9.893293760158293E-4,9606,Homo sapiens,"GGA1;OPTN","","R-HSA-8854182;R-HSA-8854222"
R-HSA-8985947,"Interleukin-9 signaling",1,11,7.217847769028871E-4,0.11231425481030621,0.5372169814016441,7,13,9.186629920146986E-4,9606,Homo sapiens,"JAK1","","R-HSA-8985929;R-HSA-8985914;R-HSA-8985900;R-HSA-8985973;R-HSA-8985988;R-HSA-9011748;R-HSA-8963734"
R-HSA-442380,"Zinc influx into cells by the SLC39 gene family",1,11,7.217847769028871E-4,0.11231425481030621,0.5372169814016441,1,6,4.2399830400678397E-4,9606,Homo sapiens,"JAK1","","R-HSA-442387"
R-HSA-6783310,"Fanconi Anemia Pathway",2,53,0.0034776902887139107,0.1131170991174748,0.5372169814016441,2,15,0.00105999576001696,9606,Homo sapiens,"ERCC1;SLX1A","","R-HSA-6785732;R-HSA-6785986"
R-HSA-75153,"Apoptotic execution phase",2,54,0.003543307086614173,0.11663076959748953,0.5372169814016441,2,57,0.004027983888064448,9606,Homo sapiens,"H1-0;H1-3","","R-HSA-211239;R-HSA-211247"
R-HSA-9020958,"Interleukin-21 signaling",1,12,7.874015748031496E-4,0.12188036563567617,0.5372169814016441,5,5,3.5333192000565333E-4,9606,Homo sapiens,"JAK1","","R-HSA-9006873;R-HSA-9006844;R-HSA-9005980;R-HSA-9006850;R-HSA-9006870"
R-HSA-112411,"MAPK1 (ERK2) activation",1,12,7.874015748031496E-4,0.12188036563567617,0.5372169814016441,1,3,2.1199915200339198E-4,9606,Homo sapiens,"JAK1","","R-HSA-109858"
R-HSA-176974,"Unwinding of DNA",1,12,7.874015748031496E-4,0.12188036563567617,0.5372169814016441,1,4,2.8266553600452265E-4,9606,Homo sapiens,"FOSB","","R-HSA-176942"
R-HSA-201688,"WNT mediated activation of DVL",1,12,7.874015748031496E-4,0.12188036563567617,0.5372169814016441,1,4,2.8266553600452265E-4,9606,Homo sapiens,"CSNK1E","","R-HSA-3772435"
R-HSA-2586552,"Signaling by Leptin",1,13,8.530183727034121E-4,0.13134400572281035,0.5372169814016441,15,19,0.0013426612960214825,9606,Homo sapiens,"LEPR","","R-HSA-2671850;R-HSA-2672302;R-HSA-2671855;R-HSA-2671872;R-HSA-2671873;R-HSA-2671747;R-HSA-2671876;R-HSA-2671868;R-HSA-2671742;R-HSA-2671839;R-HSA-2586559;R-HSA-2586555;R-HSA-2671829;R-HSA-2586553;R-HSA-2671862"
R-HSA-9020956,"Interleukin-27 signaling",1,13,8.530183727034121E-4,0.13134400572281035,0.5372169814016441,9,20,0.0014133276800226133,9606,Homo sapiens,"JAK1","","R-HSA-8950537;R-HSA-8950441;R-HSA-8950716;R-HSA-8950210;R-HSA-8950340;R-HSA-448427;R-HSA-8950485;R-HSA-1067646;R-HSA-8950518"
R-HSA-110056,"MAPK3 (ERK1) activation",1,13,8.530183727034121E-4,0.13134400572281035,0.5372169814016441,1,4,2.8266553600452265E-4,9606,Homo sapiens,"JAK1","","R-HSA-109857"
R-HSA-5696398,"Nucleotide Excision Repair",3,119,0.0078083989501312335,0.13958023212600879,0.5372169814016441,24,37,0.0026146562080418346,9606,Homo sapiens,"INO80E;ERCC1;POLR2E","","R-HSA-109955;R-HSA-6782211;R-HSA-9684118;R-HSA-5696465;R-HSA-6781824;R-HSA-6782208;R-HSA-5691006;R-HSA-6781867;R-HSA-6781833;R-HSA-6782069;R-HSA-6782004;R-HSA-5690213;R-HSA-6782131;R-HSA-6782227;R-HSA-6781840;R-HSA-6782224;R-HSA-5690990;R-HSA-5690991;R-HSA-6782141;R-HSA-5690988;R-HSA-6782204;R-HSA-6781818;R-HSA-6782138;R-HSA-6782234"
R-HSA-9020558,"Interleukin-2 signaling",1,14,9.186351706036745E-4,0.14070626610113735,0.5372169814016441,12,19,0.0013426612960214825,9606,Homo sapiens,"JAK1","","R-HSA-451942;R-HSA-919404;R-HSA-452100;R-HSA-508292;R-HSA-452097;R-HSA-450063;R-HSA-452108;R-HSA-451900;R-HSA-452122;R-HSA-450027;R-HSA-508282;R-HSA-452091"
R-HSA-1483248,"Synthesis of PIPs at the ER membrane",1,14,9.186351706036745E-4,0.14070626610113735,0.5372169814016441,1,5,3.5333192000565333E-4,9606,Homo sapiens,"SACM1L","","R-HSA-1676124"
R-HSA-9662361,"Sensory processing of sound by outer hair cells of the cochlea",2,64,0.004199475065616798,0.1531204912566575,0.5372169814016441,1,8,5.653310720090453E-4,9606,Homo sapiens,"TRIOBP","","R-HSA-9663363"
R-HSA-8983432,"Interleukin-15 signaling",1,16,0.0010498687664041995,0.15913095424102275,0.5372169814016441,14,17,0.0012013285280192212,9606,Homo sapiens,"JAK1","","R-HSA-8983371;R-HSA-8983309;R-HSA-8983374;R-HSA-8983425;R-HSA-8983424;R-HSA-8983299;R-HSA-8983298;R-HSA-8983394;R-HSA-8983300;R-HSA-9009700;R-HSA-8983335;R-HSA-8983384;R-HSA-8983378;R-HSA-449115"
R-HSA-8984722,"Interleukin-35 Signalling",1,16,0.0010498687664041995,0.15913095424102275,0.5372169814016441,15,26,0.0018373259840293971,9606,Homo sapiens,"JAK1","","R-HSA-8984012;R-HSA-8983983;R-HSA-8984014;R-HSA-8984001;R-HSA-8983841;R-HSA-8983845;R-HSA-8950405;R-HSA-8983835;R-HSA-6809140;R-HSA-8983834;R-HSA-8983996;R-HSA-8983518;R-HSA-8984021;R-HSA-8950453;R-HSA-8984023"
R-HSA-877312,"Regulation of IFNG signaling",1,16,0.0010498687664041995,0.15913095424102275,0.5372169814016441,2,4,2.8266553600452265E-4,9606,Homo sapiens,"JAK1","","R-HSA-877308;R-HSA-877269"
R-HSA-435354,"Zinc transporters",1,16,0.0010498687664041995,0.15913095424102275,0.5372169814016441,1,13,9.186629920146986E-4,9606,Homo sapiens,"JAK1","","R-HSA-442387"
R-HSA-6788467,"IL-6-type cytokine receptor ligand interactions",1,17,0.001115485564304462,0.16819550681628337,0.5372169814016441,10,14,9.893293760158293E-4,9606,Homo sapiens,"JAK1","","R-HSA-448660;R-HSA-6783524;R-HSA-6783556;R-HSA-5696482;R-HSA-6783681;R-HSA-6783552;R-HSA-6784189;R-HSA-6784204;R-HSA-6783530;R-HSA-449976"
R-HSA-1059683,"Interleukin-6 signaling",1,17,0.001115485564304462,0.16819550681628337,0.5372169814016441,14,20,0.0014133276800226133,9606,Homo sapiens,"JAK1","","R-HSA-1112690;R-HSA-1112755;R-HSA-1112565;R-HSA-1112727;R-HSA-1112602;R-HSA-1112604;R-HSA-1067646;R-HSA-1112510;R-HSA-1112703;R-HSA-1112514;R-HSA-1067651;R-HSA-1112708;R-HSA-1067688;R-HSA-1067659"
R-HSA-6804759,"Regulation of TP53 Activity through Association with Co-factors",1,17,0.001115485564304462,0.16819550681628337,0.5372169814016441,1,11,7.773302240124373E-4,9606,Homo sapiens,"PPP1R13L","","R-HSA-6799761"
R-HSA-6782135,"Dual incision in TC-NER",2,68,0.004461942257217848,0.16827926633198032,0.5372169814016441,7,7,4.946646880079147E-4,9606,Homo sapiens,"ERCC1;POLR2E","","R-HSA-6782211;R-HSA-6782131;R-HSA-9684118;R-HSA-6782224;R-HSA-6782141;R-HSA-6782204;R-HSA-6782138"
R-HSA-9758941,"Gastrulation",2,69,0.00452755905511811,0.1721087850830325,0.5372169814016441,9,37,0.0026146562080418346,9606,Homo sapiens,"TBX6","","R-HSA-9793383;R-HSA-9793382;R-HSA-9793921;R-HSA-9793933;R-HSA-9793837;R-HSA-9793887;R-HSA-9793375;R-HSA-9793400;R-HSA-9820538"
R-HSA-69002,"DNA Replication Pre-Initiation",3,132,0.008661417322834646,0.17297532188969333,0.5372169814016441,9,32,0.002261324288036181,9606,Homo sapiens,"FOSB;MCM10;H3C6","","R-HSA-68960;R-HSA-68914;R-HSA-68917;R-HSA-68916;R-HSA-68919;R-HSA-68918;R-HSA-9749197;R-HSA-68940;R-HSA-9749098"
R-HSA-6814848,"Glycerophospholipid catabolism",1,18,0.0011811023622047244,0.17716292954931923,0.5372169814016441,1,7,4.946646880079147E-4,9606,Homo sapiens,"GDPD3","","R-HSA-6814778"
R-HSA-2559586,"DNA Damage/Telomere Stress Induced Senescence",2,71,0.004658792650918635,0.17981022664656998,0.5372169814016441,1,18,0.0012719949120203519,9606,Homo sapiens,"H1-0;H1-3","","R-HSA-4647594"
R-HSA-373755,"Semaphorin interactions",2,71,0.004658792650918635,0.17981022664656998,0.5372169814016441,2,41,0.002897321744046357,9606,Homo sapiens,"PLXNC1;MYH10","","R-HSA-434989;R-HSA-419197"
R-HSA-73780,"RNA Polymerase III Chain Elongation",1,19,0.0012467191601049869,0.1860342569416824,0.5372169814016441,3,3,2.1199915200339198E-4,9606,Homo sapiens,"POLR2E","","R-HSA-113446;R-HSA-113705;R-HSA-113451"
R-HSA-8849175,"Threonine catabolism",1,19,0.0012467191601049869,0.1860342569416824,0.5372169814016441,2,4,2.8266553600452265E-4,9606,Homo sapiens,"GCAT","","R-HSA-6798667;R-HSA-6798345"
R-HSA-416700,"Other semaphorin interactions",1,19,0.0012467191601049869,0.1860342569416824,0.5372169814016441,1,9,6.359974560101759E-4,9606,Homo sapiens,"PLXNC1","","R-HSA-434989"
R-HSA-446353,"Cell-extracellular matrix interactions",1,19,0.0012467191601049869,0.1860342569416824,0.5372169814016441,1,10,7.066638400113067E-4,9606,Homo sapiens,"VASP","","R-HSA-446364"
R-HSA-212165,"Epigenetic regulation of gene expression",3,139,0.009120734908136483,0.1918156718312254,0.5372169814016441,23,34,0.0024026570560384424,9606,Homo sapiens,"POLR2E;POLR1G;H3C6","","R-HSA-427366;R-HSA-5334097;R-HSA-427527;R-HSA-5334160;R-HSA-5250930;R-HSA-5334099;R-HSA-212263;R-HSA-5334164;R-HSA-5250938;R-HSA-5227490;R-HSA-433672;R-HSA-427528;R-HSA-427336;R-HSA-212269;R-HSA-427337;R-HSA-427383;R-HSA-5334179;R-HSA-5250947;R-HSA-5334151;R-HSA-5334152;R-HSA-427514;R-HSA-212222;R-HSA-212252"
R-HSA-6803207,"TP53 Regulates Transcription of Caspase Activators and Caspases",1,20,0.0013123359580052493,0.19481051254364656,0.5372169814016441,3,17,0.0012013285280192212,9606,Homo sapiens,"CRADD","","R-HSA-6800798;R-HSA-6800797;R-HSA-6800794"
R-HSA-9706369,"Negative regulation of FLT3",1,20,0.0013123359580052493,0.19481051254364656,0.5372169814016441,2,12,8.479966080135679E-4,9606,Homo sapiens,"SOCS2","","R-HSA-9706354;R-HSA-9706328"
R-HSA-9662360,"Sensory processing of sound by inner hair cells of the cochlea",2,76,0.0049868766404199474,0.1992772889260772,0.5372169814016441,1,7,4.946646880079147E-4,9606,Homo sapiens,"TRIOBP","","R-HSA-9659380"
R-HSA-5625740,"RHO GTPases activate PKNs",2,80,0.005249343832020997,0.2150252566985541,0.5372169814016441,9,20,0.0014133276800226133,9606,Homo sapiens,"MYH10;H3C6","","R-HSA-5625797;R-HSA-5625796;R-HSA-419232;R-HSA-5625774;R-HSA-5625870;R-HSA-5625849;R-HSA-5625784;R-HSA-5625848;R-HSA-5625883"
R-HSA-5578749,"Transcriptional regulation by small RNAs",2,81,0.00531496062992126,0.21898107533746292,0.5372169814016441,1,5,3.5333192000565333E-4,9606,Homo sapiens,"POLR2E;H3C6","","R-HSA-5578742"
R-HSA-73980,"RNA Polymerase III Transcription Termination",1,23,0.0015091863517060367,0.2205789222517176,0.5372169814016441,2,2,1.4133276800226132E-4,9606,Homo sapiens,"POLR2E","","R-HSA-113449;R-HSA-113454"
R-HSA-5625900,"RHO GTPases activate CIT",1,23,0.0015091863517060367,0.2205789222517176,0.5372169814016441,1,6,4.2399830400678397E-4,9606,Homo sapiens,"MYH10","","R-HSA-5671919"
R-HSA-167242,"Abortive elongation of HIV-1 transcript in the absence of Tat",1,24,0.0015748031496062992,0.22898491117653108,0.5372169814016441,2,2,1.4133276800226132E-4,9606,Homo sapiens,"POLR2E","","R-HSA-167147;R-HSA-167087"
R-HSA-8851708,"Signaling by FGFR2 IIIa TM",1,24,0.0015748031496062992,0.22898491117653108,0.5372169814016441,1,2,1.4133276800226132E-4,9606,Homo sapiens,"POLR2E","","R-HSA-8851710"
R-HSA-5627117,"RHO GTPases Activate ROCKs",1,24,0.0015748031496062992,0.22898491117653108,0.5372169814016441,2,7,4.946646880079147E-4,9606,Homo sapiens,"MYH10","","R-HSA-419232;R-HSA-419197"
R-HSA-9018519,"Estrogen-dependent gene expression",3,154,0.01010498687664042,0.23372957323406807,0.5372169814016441,18,66,0.004663981344074624,9606,Homo sapiens,"POLR2E;FOSB;H3C6","","R-HSA-9009065;R-HSA-9011949;R-HSA-9011981;R-HSA-9011983;R-HSA-9011950;R-HSA-9012000;R-HSA-9011971;R-HSA-9009378;R-HSA-9011941;R-HSA-9011975;R-HSA-9012315;R-HSA-9009371;R-HSA-9011997;R-HSA-9012319;R-HSA-9011966;R-HSA-9011985;R-HSA-9011984;R-HSA-9011952"
R-HSA-6781827,"Transcription-Coupled Nucleotide Excision Repair (TC-NER)",2,85,0.00557742782152231,0.23486158429179882,0.5372169814016441,17,17,0.0012013285280192212,9606,Homo sapiens,"ERCC1;POLR2E","","R-HSA-6782211;R-HSA-9684118;R-HSA-6781824;R-HSA-6782208;R-HSA-6781867;R-HSA-6781833;R-HSA-6782069;R-HSA-6782004;R-HSA-6782131;R-HSA-6782227;R-HSA-6781840;R-HSA-6782224;R-HSA-6782141;R-HSA-6782204;R-HSA-6781818;R-HSA-6782138;R-HSA-6782234"
R-HSA-5620922,"BBSome-mediated cargo-targeting to cilium",1,25,0.0016404199475065617,0.23730078578378533,0.5372169814016441,2,5,3.5333192000565333E-4,9606,Homo sapiens,"LZTFL1","","R-HSA-5624129;R-HSA-5624127"
R-HSA-416572,"Sema4D induced cell migration and growth-cone collapse",1,25,0.0016404199475065617,0.23730078578378533,0.5372169814016441,1,7,4.946646880079147E-4,9606,Homo sapiens,"MYH10","","R-HSA-419197"
R-HSA-9659379,"Sensory processing of sound",2,87,0.005708661417322835,0.2428282026937083,0.5372169814016441,2,13,9.186629920146986E-4,9606,Homo sapiens,"TRIOBP","","R-HSA-9663363;R-HSA-9659380"
R-HSA-9013148,"CDC42 GTPase cycle",3,159,0.010433070866141732,0.24806048515455514,0.5372169814016441,2,6,4.2399830400678397E-4,9606,Homo sapiens,"CDC42EP1;ARHGAP45","","R-HSA-9013161;R-HSA-9013157"
R-HSA-977225,"Amyloid fiber formation",2,89,0.0058398950131233595,0.25080659308448094,0.5372169814016441,3,33,0.002331990672037312,9606,Homo sapiens,"GGA1;H3C6","","R-HSA-5692934;R-HSA-977224;R-HSA-5692941"
R-HSA-9705462,"Inactivation of CSF3 (G-CSF) signaling",1,27,0.0017716535433070866,0.2536660227579137,0.5372169814016441,5,9,6.359974560101759E-4,9606,Homo sapiens,"JAK1","","R-HSA-9705729;R-HSA-9705726;R-HSA-9707977;R-HSA-9705738;R-HSA-9705467"
R-HSA-76066,"RNA Polymerase III Transcription Initiation From Type 2 Promoter",1,27,0.0017716535433070866,0.2536660227579137,0.5372169814016441,2,4,2.8266553600452265E-4,9606,Homo sapiens,"POLR2E","","R-HSA-112150;R-HSA-83805"
R-HSA-5627123,"RHO GTPases activate PAKs",1,27,0.0017716535433070866,0.2536660227579137,0.5372169814016441,3,15,0.00105999576001696,9606,Homo sapiens,"MYH10","","R-HSA-5668932;R-HSA-5668978;R-HSA-419232"
R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",3,163,0.010695538057742782,0.25962180816511027,0.5372169814016441,3,67,0.004734647728075754,9606,Homo sapiens,"SLC14A2;SLC6A20;JAK1","","R-HSA-352052;R-HSA-442387;R-HSA-444126"
R-HSA-6803529,"FGFR2 alternative splicing",1,28,0.001837270341207349,0.26171727516393095,0.5372169814016441,4,4,2.8266553600452265E-4,9606,Homo sapiens,"POLR2E","","R-HSA-6803527;R-HSA-6803523;R-HSA-6803838;R-HSA-6803836"
R-HSA-912694,"Regulation of IFNA/IFNB signaling",1,28,0.001837270341207349,0.26171727516393095,0.5372169814016441,4,5,3.5333192000565333E-4,9606,Homo sapiens,"JAK1","","R-HSA-997311;R-HSA-997309;R-HSA-912680;R-HSA-997314"
R-HSA-76071,"RNA Polymerase III Transcription Initiation From Type 3 Promoter",1,28,0.001837270341207349,0.26171727516393095,0.5372169814016441,2,4,2.8266553600452265E-4,9606,Homo sapiens,"POLR2E","","R-HSA-112152;R-HSA-83803"
R-HSA-76061,"RNA Polymerase III Transcription Initiation From Type 1 Promoter",1,28,0.001837270341207349,0.26171727516393095,0.5372169814016441,2,5,3.5333192000565333E-4,9606,Homo sapiens,"POLR2E","","R-HSA-76056;R-HSA-76060"
R-HSA-112409,"RAF-independent MAPK1/3 activation",1,28,0.001837270341207349,0.26171727516393095,0.5372169814016441,2,12,8.479966080135679E-4,9606,Homo sapiens,"JAK1","","R-HSA-109857;R-HSA-109858"
R-HSA-2565942,"Regulation of PLK1 Activity at G2/M Transition",2,92,0.006036745406824147,0.2627872572154387,0.5372169814016441,7,12,8.479966080135679E-4,9606,Homo sapiens,"CSNK1E;OPTN","","R-HSA-3000319;R-HSA-2562594;R-HSA-3002811;R-HSA-2562526;R-HSA-2574845;R-HSA-3000310;R-HSA-2574840"
R-HSA-5696399,"Global Genome Nucleotide Excision Repair (GG-NER)",2,92,0.006036745406824147,0.2627872572154387,0.5372169814016441,7,20,0.0014133276800226133,9606,Homo sapiens,"INO80E;ERCC1","","R-HSA-109955;R-HSA-5690213;R-HSA-5696465;R-HSA-5691006;R-HSA-5690990;R-HSA-5690991;R-HSA-5690988"
R-HSA-912526,"Interleukin receptor SHC signaling",1,29,0.0019028871391076115,0.26968219354367917,0.5372169814016441,6,6,4.2399830400678397E-4,9606,Homo sapiens,"JAK1","","R-HSA-508247;R-HSA-453111;R-HSA-912527;R-HSA-913374;R-HSA-453104;R-HSA-913424"
R-HSA-167160,"RNA Pol II CTD phosphorylation and interaction with CE during HIV infection",1,29,0.0019028871391076115,0.26968219354367917,0.5372169814016441,5,5,3.5333192000565333E-4,9606,Homo sapiens,"POLR2E","","R-HSA-167153;R-HSA-167111;R-HSA-167098;R-HSA-167128;R-HSA-167133"
R-HSA-77075,"RNA Pol II CTD phosphorylation and interaction with CE",1,29,0.0019028871391076115,0.26968219354367917,0.5372169814016441,5,5,3.5333192000565333E-4,9606,Homo sapiens,"POLR2E","","R-HSA-77073;R-HSA-113430;R-HSA-77069;R-HSA-77068;R-HSA-77071"
R-HSA-8854691,"Interleukin-20 family signaling",1,29,0.0019028871391076115,0.26968219354367917,0.5372169814016441,47,56,0.003957317504063317,9606,Homo sapiens,"JAK1","","R-HSA-8987080;R-HSA-9009227;R-HSA-448708;R-HSA-8987084;R-HSA-8987150;R-HSA-8986446;R-HSA-8987202;R-HSA-8987266;R-HSA-8987141;R-HSA-8987012;R-HSA-8987015;R-HSA-8987270;R-HSA-8987014;R-HSA-8987097;R-HSA-8987161;R-HSA-8987033;R-HSA-8987096;R-HSA-448661;R-HSA-8986972;R-HSA-8987039;R-HSA-8987230;R-HSA-8982163;R-HSA-8982162;R-HSA-8982165;R-HSA-8987156;R-HSA-8987220;R-HSA-448728;R-HSA-8986985;R-HSA-8987179;R-HSA-448480;R-HSA-8987105;R-HSA-8987104;R-HSA-8987040;R-HSA-8987043;R-HSA-8987042;R-HSA-8987236;R-HSA-448744;R-HSA-8987129;R-HSA-8854645;R-HSA-8987132;R-HSA-8987070;R-HSA-8987120;R-HSA-8986480;R-HSA-8986995;R-HSA-8986994;R-HSA-8987255;R-HSA-8987063"
R-HSA-1369062,"ABC transporters in lipid homeostasis",1,29,0.0019028871391076115,0.26968219354367917,0.5372169814016441,1,11,7.773302240124373E-4,9606,Homo sapiens,"ABCA7","","R-HSA-382553"
R-HSA-982772,"Growth hormone receptor signaling",1,29,0.0019028871391076115,0.26968219354367917,0.5372169814016441,2,28,0.0019786587520316586,9606,Homo sapiens,"SOCS2","","R-HSA-1168809;R-HSA-1168813"
